"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2401980110","x1382049448818266113",2021-04-13 19:14:00,"tiktok_us","this audio is such a vibeee: https://t.co/bUF5yco3Sk 
start scrolling and you’ll be on ur way <U+0001F609>","Sprinklr Publishing",95,,,,FALSE,FALSE,82,3,,,,,"vm.tiktok.com/ZMeasMQYm/","https://t.co/bUF5yco3Sk","https://vm.tiktok.com/ZMeasMQYm/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1382049448818266113","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1382004652561027073",2021-04-13 16:16:00,"tiktok_us","i deserve an award every time i try to explain a TikTok to someone who hasn’t seen it <U+0001F602>","Sprinklr Publishing",87,,,,FALSE,FALSE,501,24,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1382004652561027073","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1381684796565286918",2021-04-12 19:05:00,"tiktok_us","The one and only @jessiamusic is LIVE on TikTok and answering all of your questions. #SoundOff in the comments now: https://t.co/ZLE8cCs0tg <U+0001F3B6> https://t.co/95oCFgKWrQ","Twitter Web App",140,,,,FALSE,TRUE,0,6,,,"SoundOff",,,,,,,,,,,,,"x1311661609689939968 x1126739364791275521","TikTokCanada jessiamusic","en",,,,,,,,,,,,,,,,"x1381683773226516481","The one and only @jessiamusic is LIVE on TikTok and answering all of your questions. #SoundOff in the comments now: https://t.co/ZLE8cCs0tg <U+0001F3B6> https://t.co/95oCFgKWrQ",2021-04-12 19:00:56,"Twitter Web App",87,6,"x1311661609689939968","TikTokCanada","TikTok Canada",3220,392,1011,"Canada","The official Twitter account for TikTok Canada <U+0001F1E8><U+0001F1E6>
Looking for support eh? <U+0001F449> @TikTokSupport <U+0001F448>
#ItStartsOnTikTok",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1381684796565286918","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1381640254705270785",2021-04-12 16:08:01,"tiktok_us","the five love languages:

<U+0001F5E3><U+FE0F> words of affirmation: this is a good TikTok

<U+0001F4F1>acts of service: i made you a TikTok

<U+0001F4E9> receiving gifts: here's a TikTok

<U+0001F440> quality time: let's go watch some TikToks together

<U+0001F91D> physical touch: holding hands, while scrolling TikTok","Sprinklr Publishing",258,,,,FALSE,FALSE,311,21,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1381640254705270785","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1381351599134638089",2021-04-11 21:01:00,"tiktok_us","the year is 1996: what’s on ur FYP?","Sprinklr Publishing",35,,,,FALSE,FALSE,1340,34,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1381351599134638089","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1381317373924409347",2021-04-11 18:45:00,"tiktok_us","share a TikTok that best reflects ur mood <U+0001F447>","Sprinklr Publishing",43,,,,FALSE,FALSE,447,14,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1381317373924409347","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1381275348202061828",2021-04-11 15:58:00,"tiktok_us","watching ur favorite TikTok over and over &gt; watching ur favorite show over and over","Sprinklr Publishing",86,,,,FALSE,FALSE,447,15,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1381275348202061828","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380987953376325633",2021-04-10 20:56:00,"tiktok_us","anyone else feel like they’ve become BFFs with people on their FYPs?","Sprinklr Publishing",68,,,,FALSE,FALSE,708,27,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380987953376325633","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380954986247376898",2021-04-10 18:45:00,"tiktok_us","how it started <U+27A1><U+FE0F> how it’s going https://t.co/2Wv4mDeWG6","Twitter Web App",32,,,,FALSE,FALSE,344,11,,,,,,,,"http://pbs.twimg.com/media/EykSZHRU4AMZG3S.jpg","https://t.co/2Wv4mDeWG6","https://twitter.com/tiktok_us/status/1380954986247376898/photo/1","photo","http://pbs.twimg.com/media/EykSZHRU4AMZG3S.jpg http://pbs.twimg.com/media/EykSZHRVEAsPec7.jpg","https://t.co/2Wv4mDeWG6 https://t.co/2Wv4mDeWG6","https://twitter.com/tiktok_us/status/1380954986247376898/photo/1 https://twitter.com/tiktok_us/status/1380954986247376898/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380954986247376898","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380914469392457729",2021-04-10 16:04:00,"tiktok_us","<U+26A0><U+FE0F> spoiler warning <U+26A0><U+FE0F>

as new episodes of big shows drop, be careful while scrolling TikTok","Twitter Web App",91,,,,FALSE,FALSE,552,25,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380914469392457729","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380721946678030337",2021-04-10 03:18:59,"tiktok_us","This weekend, experience #WrestleMania LIVE on @tiktok_us! 

Stream the #WrestleMania Kickoff at 7e/4p and #WWEWatchAlong at 8e/5p during both nights of #WrestleMania!","Twitter for iPhone",140,,,,FALSE,TRUE,0,86,,,"WrestleMania WrestleMania WWEWatchAlong",,,,,,,,,,,,,"x7517222 x2401980110","WWE tiktok_us","en",,,,,,,,,,,,,,,,"x1380656773691015174","This weekend, experience #WrestleMania LIVE on @tiktok_us! 

Stream the #WrestleMania Kickoff at 7e/4p and #WWEWatchAlong at 8e/5p during both nights of #WrestleMania!",2021-04-09 23:00:00,"Sprinklr Publishing",568,86,"x7517222","WWE","WWE",11241407,462,280730,"Stamford, CT","The official Twitter account of @WWE and its fans worldwide!",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380721946678030337","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380671837227597830",2021-04-09 23:59:52,"tiktok_us","happy birthday to the one-and-only, @LilNasX! here’s to another year of dropping hits (and haters) <U+0001F44F> https://t.co/JoYLoBCIhR","Sprinklr Publishing",100,,,,FALSE,FALSE,7674,149,,,,,,,,"http://pbs.twimg.com/media/EykhuD7XMAQZpgO.jpg","https://t.co/JoYLoBCIhR","https://twitter.com/tiktok_us/status/1380671837227597830/photo/1","photo","http://pbs.twimg.com/media/EykhuD7XMAQZpgO.jpg","https://t.co/JoYLoBCIhR","https://twitter.com/tiktok_us/status/1380671837227597830/photo/1",,"x754006735468261376","LilNasX","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380671837227597830","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380626637495144451",2021-04-09 21:00:15,"tiktok_us","Get ready <U+0001F44F> @liltjay joins episode 2 of our new #TikTokLIVE series #Headstream, today at 4 PM PT. Be there when it happens: https://t.co/zWRSP7Xks4 https://t.co/bQEnrIyt7n","Sprinklr Publishing",147,,,,FALSE,FALSE,111,2,,,"TikTokLIVE Headstream",,"tiktok.com/@tiktok","https://t.co/zWRSP7Xks4","http://tiktok.com/@tiktok","http://pbs.twimg.com/ext_tw_video_thumb/1380626577923395585/pu/img/_cbTANlqH_T3Ihir.jpg","https://t.co/bQEnrIyt7n","https://twitter.com/tiktok_us/status/1380626637495144451/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1380626577923395585/pu/img/_cbTANlqH_T3Ihir.jpg","https://t.co/bQEnrIyt7n","https://twitter.com/tiktok_us/status/1380626637495144451/video/1",,"x856676813346492416","liltjay","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380626637495144451","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380592598205747208",2021-04-09 18:45:00,"tiktok_us","what’s a song you heard for the first time because of EmoTok?","Sprinklr Publishing",61,,,,FALSE,FALSE,534,19,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380592598205747208","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380585830624813056",2021-04-09 18:18:06,"tiktok_us","I'LL BE TAKING MY BREAK AT 3PM ET IF ANYONE WANTS TO JOIN ME OUTSIDE. https://t.co/KGWJ0kGhx8","Twitter Web App",69,,,,TRUE,FALSE,433,19,,,,,"twitter.com/LilNasX/status…","https://t.co/KGWJ0kGhx8","https://twitter.com/LilNasX/status/1380239893452840965",,,,,,,,,,,"en","x1380239893452840965","for my birthday tomorrow i want everybody on the planet to walk outside at 3pm est and twerk to montero simultaneously",2021-04-08 19:23:28,"Twitter for iPhone",209337,16272,"x754006735468261376","LilNasX","nope <U+0001F3F9>",6279514,772,8991,"la","“MONTERO (CALL ME BY YOUR NAME)” OUT NOW! <U+260E><U+FE0F><U+2763><U+FE0F> https://t.co/QK0ddAoeGt",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380585830624813056","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380582789360218112",2021-04-09 18:06:01,"tiktok_us","@Etsy scrolling through these tryna decide which one to get you ;)
https://t.co/W6tUDOsaRn","Twitter Web App",84,"x1380249719570636800","x11522502","Etsy",FALSE,FALSE,0,0,,,,,"etsy.com/market/proud_o…","https://t.co/W6tUDOsaRn","https://www.etsy.com/market/proud_of_you_card",,,,,,,,,"x11522502","Etsy","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380582789360218112","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380554133304971269",2021-04-09 16:12:09,"tiktok_us","We teamed up with @area21 @MartinGarrix and @MAEJOR to bring you our first-ever music effect: the Music Visualizer <U+0001F525> 

This background effect animates in-sync to the rhythm of any TikTok library song. Try it out here:  
https://t.co/VSnKFIwx4t https://t.co/P01TMq46l3","Sprinklr Publishing",243,,,,FALSE,FALSE,418,70,,,,,"tiktok.com/share/stickers…","https://t.co/VSnKFIwx4t","http://tiktok.com/share/stickers/detail/1020192/","http://pbs.twimg.com/ext_tw_video_thumb/1380554098332868618/pu/img/CFTz7t3HoC7ff2Co.jpg","https://t.co/P01TMq46l3","https://twitter.com/tiktok_us/status/1380554133304971269/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1380554098332868618/pu/img/CFTz7t3HoC7ff2Co.jpg","https://t.co/P01TMq46l3","https://twitter.com/tiktok_us/status/1380554133304971269/video/1",,"x702227675004297217 x134234000 x21317078","AREA21 MartinGarrix MAEJOR","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380554133304971269","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380319800778448900",2021-04-09 00:41:00,"tiktok_us","thanks to TikTok i can:

<U+0001F3E0> find my dream house
<U+0001F528> learn how to renovate it
<U+0001F5BC><U+FE0F> discover ways to decorate it
<U+0001F958> cook my first meal there","Sprinklr Publishing",132,,,,FALSE,FALSE,384,18,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380319800778448900","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380306153041629184",2021-04-08 23:46:46,"tiktok_us","@gngchar i don’t make the rules","Twitter Web App",22,"x1379866910322479106","x813371408696811520","gngchar",FALSE,FALSE,46,0,,,,,,,,,,,,,,,,"x813371408696811520","gngchar","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380306153041629184","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380286511849959426",2021-04-08 22:28:43,"tiktok_us","Make sure ya tune in tomorrow at 7PM ET !! https://t.co/EhSS7e2M2h @tiktok_us https://t.co/CUqqo7KPnP","Twitter Web App",114,,,,FALSE,TRUE,0,53,,,,,"vm.tiktok.com/ZMeaDCLKh/","https://t.co/EhSS7e2M2h","https://vm.tiktok.com/ZMeaDCLKh/","http://pbs.twimg.com/ext_tw_video_thumb/1380226833384366085/pu/img/xZk2Cg72he5D8TXv.jpg","https://t.co/CUqqo7KPnP","https://twitter.com/liltjay/status/1380226856490831874/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1380226833384366085/pu/img/xZk2Cg72he5D8TXv.jpg","https://t.co/CUqqo7KPnP","https://twitter.com/liltjay/status/1380226856490831874/video/1",,"x856676813346492416 x2401980110","liltjay tiktok_us","en",,,,,,,,,,,,,,,,"x1380226856490831874","Make sure ya tune in tomorrow at 7PM ET !! https://t.co/EhSS7e2M2h @tiktok_us https://t.co/CUqqo7KPnP",2021-04-08 18:31:40,"Twitter for iPhone",1135,53,"x856676813346492416","liltjay","lil TJAY",535658,158,1128,"Bronx, NY","‘Destined 2 Win’ out now! <U+0001F608><U+0001F5FD><U+2709><U+FE0F>:liltjaymusic@gmail.com",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380286511849959426","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380272495899648001",2021-04-08 21:33:01,"tiktok_us","me when my crush walks in

 <U+0001F3A5>: officialzaymar, margielly on TikTok https://t.co/cSlWMhv0LG","Sprinklr Publishing",66,,,,FALSE,FALSE,287,11,,,,,,,,"http://pbs.twimg.com/media/Eye2hDkXMAI0xyW.jpg","https://t.co/cSlWMhv0LG","https://twitter.com/tiktok_us/status/1380272495899648001/photo/1","photo","http://pbs.twimg.com/media/Eye2hDkXMAI0xyW.jpg http://pbs.twimg.com/media/Eye2hRoXIAQgSIK.jpg","https://t.co/cSlWMhv0LG https://t.co/cSlWMhv0LG","https://twitter.com/tiktok_us/status/1380272495899648001/photo/1 https://twitter.com/tiktok_us/status/1380272495899648001/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380272495899648001","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
"x2401980110","x1380237797773225992",2021-04-08 19:15:09,"tiktok_us","Our TikTok #WellnessHub has arrived <U+0001F64C>  Head on over to find inspiration, connect with creators, and discover real tips for better living: https://t.co/hN8aWNckqV https://t.co/OgmyjjZPnh","Sprinklr Publishing",161,,,,FALSE,FALSE,137,17,,,"WellnessHub",,"snssdk1233.onelink.me/bIdt/tiktokwel…","https://t.co/hN8aWNckqV","https://snssdk1233.onelink.me/bIdt/tiktokwellnessorganic","http://pbs.twimg.com/ext_tw_video_thumb/1380237764562714624/pu/img/TcIlZ89GY4_L7nhC.jpg","https://t.co/OgmyjjZPnh","https://twitter.com/tiktok_us/status/1380237797773225992/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1380237764562714624/pu/img/TcIlZ89GY4_L7nhC.jpg","https://t.co/OgmyjjZPnh","https://twitter.com/tiktok_us/status/1380237797773225992/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tiktok_us/status/1380237797773225992","TikTok","Global","It Starts on TikTok. For help <U+0001F449> @TikTokSupport <U+0001F448> <U+0001F97A>","https://t.co/qShhFUufwi",FALSE,1674086,945,1617,73404,13022,2014-03-21 18:39:40,TRUE,"https://t.co/qShhFUufwi","http://linktr.ee/tiktok",,"https://pbs.twimg.com/profile_banners/2401980110/1614609735","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1204796287696064512/6TcDDSFu_normal.jpg"
